,ACYFS1,ACYFS2,ACYFS3,ACYFS4,ACYFS5,ACYMS1,ACYMS2,ACYMS3,ACYMS4,ACYMS5,APLFS1,APLFS2,APLFS3,APLFS4,APLFS5,APLMS1,APLMS2,APLMS3,APLMS4,APLMS5,MGAFS1,MGAFS2,MGAMS1,MGAMS2,MGAMS3,MGASMS1,PCOFS1,PCOFS2,PCOFS3,PCOFS4,PCOFS5,PCOMS1,PCOMS2,PCOMS3,PCOMS4,PCOMS5,PCOMS6,NMEFS1,NMEFS2,NMEFS3,NMEFS4,NMEFS5,NMEMS1,NMEMS2,NMEMS3,NMEMS4,NMEMS5,PCRFS1,PCRFS2,PCRFS3,PCRFS4,PCRFS5,PCRMS1,PCRMS2,PCRMS3,PCRMS4,PCRMS5,GALF1S,GALF3S,GALF4S,GALF5S,GALM1S,GALM2S,GALM3S,GALM4S,GALM5S
OG0002370,5.569407,5.978335,6.024249,6.880121,6.220482,5.772452,6.163077,6.08191,6.093989,6.849319,7.219718,7.019401,6.988734,7.289366,7.250567,6.334858,6.936756,6.954055,6.81033,6.551405,5.625826,6.508663,6.008427,6.079391,7.016332,5.838336,4.110471,4.053797,3.564054,4.448587,5.161782,3.741473,3.676674,4.872655,4.163485,3.520336,4.992197,6.453754,7.546915,7.292228,7.192029,7.055348,6.499829,7.134147,7.006807,7.144279,7.602548,6.689354,6.416607,6.786743,6.992167,7.28479,6.635886,5.998124,6.977198,6.079565,6.706597,5.791292,6.823163,6.668309,5.818916,5.708862,6.604555,6.095084,7.294539,6.015777
OG0002372,5.413933,5.53846,5.516688,5.53187,5.614116,5.469724,5.515064,5.628791,5.322604,5.74273,5.825264,5.859217,6.085416,5.732877,6.015705,6.097516,5.852351,5.800691,6.090026,5.908118,5.102635,5.030266,5.231538,5.175858,5.322963,5.098663,5.473074,5.531001,5.52595,5.435245,5.584293,5.655208,5.570228,5.434888,5.435627,5.448018,5.665175,6.424555,6.159065,6.181812,5.989324,6.015972,5.908633,6.146042,6.077208,6.113985,6.066568,5.478469,5.355872,5.467445,5.624002,5.648939,5.757672,5.514385,5.658182,5.570441,5.44548,5.506839,5.564304,5.596631,5.317272,5.711034,5.605608,5.781574,5.754433,5.605827
OG0002375,7.485361,7.181734,6.981204,6.7358,7.109246,7.40194,6.876485,6.766459,7.171263,7.271751,8.466025,8.740655,8.518679,8.729472,8.867868,8.971052,8.662313,9.260116,8.360195,8.913013,9.688533,9.793736,9.451891,9.374901,9.83488,9.367334,9.171408,9.87242,9.274023,8.836559,10.17054,9.343743,9.373182,9.950313,9.970039,10.34473,9.123408,7.890672,8.594185,8.766437,8.657519,8.387028,7.99416,8.023286,7.821914,7.764541,8.200704,7.480257,7.629111,7.148813,7.291697,7.754023,7.127354,7.068162,7.212817,6.816015,6.823819,6.860128,6.801847,7.107139,7.135039,6.513034,6.731,6.813781,6.945863,6.765081
OG0002376,2.394197,2.352307,1.164492,2.70898,2.279977,2.59745,2.182623,2.59779,1.895481,1.787858,3.495556,2.888728,2.853725,2.749809,2.302936,3.118257,3.06616,3.262662,3.151079,2.962464,3.607368,3.054935,2.240667,2.896533,3.301749,2.510828,0.2554258,-2.014943,1.309199,-0.2922889,1.187645,0.7618033,-2.014943,-0.398797,-0.7033032,-0.201134,0.008428601,0.1437646,1.886699,1.186385,0.6592292,0.9382174,0.5364896,0.7735788,0.9309249,0.5277565,1.587495,4.08116,4.11357,3.745944,3.954247,3.734964,3.686553,3.70887,3.660933,3.647253,3.447755,2.323142,1.983857,2.249839,1.027006,1.963792,1.633201,1.45283,4.04965,1.015751
OG0002377,0.1220101,3.080465,2.520075,3.164266,1.267476,1.557387,2.584687,1.283416,1.517777,3.255106,-2.639262,-2.639262,-2.639262,0.3610865,-2.639262,-1.546851,-0.7205253,-2.639262,-2.639262,0.9287745,-1.666881,-1.738589,-1.474442,-2.694396,-0.8805711,-2.694396,-3.059873,-3.059873,-1.869674,-3.059873,-3.059873,-3.059873,-3.059873,-3.059873,-0.9185543,-3.059873,-0.2542925,-2.83235,1.250553,-2.13892,-2.83235,-0.9138428,-2.83235,-2.83235,-1.361735,-2.83235,0.5420417,-1.94024,-1.94024,-0.1828324,-1.111277,-0.5604497,-1.94024,-0.6980149,-0.8231378,-1.94024,-0.7613287,0.598695,-2.708639,-2.708639,-2.708639,-2.708639,-2.708639,-2.708639,-1.700645,-1.031998
OG0002378,7.415738,7.43707,7.56199,7.629478,7.340521,7.296366,7.664883,7.523007,7.274208,6.870249,8.40891,8.24824,8.354804,8.32516,8.153436,7.9535,8.41926,8.618199,8.788382,8.648174,8.414167,8.022495,8.548835,8.272598,8.124123,8.68305,7.673883,9.341634,8.377072,7.945845,8.145,8.842502,9.447724,8.679969,8.31534,8.758956,9.78332,7.969704,7.803788,7.5718,7.672024,7.83179,7.989784,7.943854,7.998656,8.134759,7.873118,8.098446,7.779493,8.093766,8.214817,8.147674,8.031513,8.081078,7.644606,8.050855,7.9176,8.191346,8.250586,8.58026,8.335058,8.011867,8.142204,7.941715,7.962886,8.111216
OG0002379,7.474013,7.783959,7.675577,7.712309,7.617276,7.63482,7.793019,7.662404,7.668721,7.763422,7.889953,8.450757,8.257587,8.327066,8.318722,8.280703,8.233094,8.104201,7.998585,8.38896,8.212261,7.766438,8.516683,8.415697,7.732666,7.808975,7.969895,8.974577,8.725851,8.264358,8.230417,8.751535,9.297199,8.697849,8.522214,8.676193,8.895624,7.969174,7.765221,8.061702,7.976811,7.6602,7.702242,7.855031,7.726872,7.660955,7.591762,8.143559,8.150954,8.276812,8.105541,8.324589,8.124149,8.388796,8.355944,8.291664,8.275645,5.358168,6.202101,5.750658,6.632646,4.964239,6.223295,5.040336,5.519872,5.060581
OG0002383,7.904832,7.828309,8.122433,8.099478,8.110016,7.96009,7.784277,8.001733,7.989622,8.395542,7.517261,7.573346,7.356902,7.41767,7.569037,7.527019,7.492264,7.377203,7.191975,7.192152,8.095844,7.890825,8.167898,8.145757,7.888687,7.781101,7.992253,8.017684,7.618992,7.391006,8.127467,8.036865,8.367625,7.761584,7.673421,7.928776,7.381494,7.116484,7.18424,6.913557,6.96507,7.275136,6.97967,6.989574,7.103223,7.122754,7.287879,7.645455,7.306145,7.466564,7.562108,7.802352,7.495998,7.318799,7.818985,7.581781,7.579618,7.997736,7.274707,7.084754,7.450004,7.476198,7.480939,7.580342,7.490531,7.611096
OG0002385,4.258166,4.110239,3.892488,4.20312,3.947859,4.119734,4.251669,3.963665,3.991641,3.590133,3.097787,3.248576,3.422089,3.35727,3.098318,2.681065,3.142363,3.261601,3.32215,3.631927,4.103817,4.138774,3.785277,4.05895,4.308475,4.071358,3.807964,2.814691,3.625448,3.90872,3.395212,3.053889,3.268606,3.365549,3.745111,3.403211,3.511993,4.365712,4.08606,4.110742,4.072012,3.874789,4.245651,4.236003,4.115746,4.096559,4.318907,5.650612,5.850231,5.544302,5.867087,6.261652,5.687993,5.841612,5.330263,6.15327,6.124821,4.514861,4.592904,4.707953,3.828674,4.566998,4.477028,4.606572,4.827029,3.93309
OG0002386,3.293076,3.703085,3.704092,4.518642,3.776152,3.564571,3.812747,3.190723,3.655942,4.369476,2.636677,3.611118,3.510424,3.650138,4.040716,3.268675,3.305707,3.306838,3.142228,3.065197,4.53542,4.02141,4.329587,3.893072,4.81339,5.323531,2.52349,1.99742,2.297311,2.612275,2.819887,1.643493,2.183417,1.233006,1.497791,2.485971,1.596323,3.720822,3.159731,3.348822,3.745089,3.322008,3.632697,3.053948,3.646619,2.673291,2.422588,-3.223914,-3.223914,-3.223914,2.434363,-3.223914,2.044466,-3.223914,-3.223914,-3.223914,2.54099,7.766889,7.006295,8.093205,7.985741,7.506877,6.990874,8.019316,7.429213,7.953057
